image_id,healthy,multiple_diseases,rust,scab
Test_40,9.00697195902467E-05,0,0.998948276,6.87303036102094E-05
Test_41,0.0005040585,0,0.9948940277,0.000203118
Test_42,0.0008714815,0,0.0007912579,0.9863752127
Test_43,0.0155140553,0,0.9701868296,0.0004550622
Test_44,0.0187215712,0,0.0134161981,0.2973972261
Test_45,0.0024836543,0,0.0033980086,0.6597050428
Test_46,0.4731891155,0,0.0031315505,0.361782074
Test_47,0.0008986384,0,0.9848060608,0.0007274096
Test_48,0.0002300022,0,0.9975492358,0.0001727571
Test_49,0.0044123619,0,0.9909850955,0.001410014
Test_50,0.0005433846,0,0.9645334482,0.0006148688
Test_51,0.00024212,0,0.9922229052,0.0001361256
Test_52,0.0014148789,0,0.9376861453,0.0021485449
Test_53,0.0010709532,0,0.9953987002,0.000271787
Test_54,0.0163040124,0,0.2576845288,0.0299557094
Test_55,0.0002903612,0,0.0001359165,0.9987325668
Test_56,0.0056404341,0,0.0020170365,0.8973351717
Test_57,0.8438396454,0,0.0748698786,0.063270703
Test_58,8.48508789204061E-05,0,0.0001660502,0.9985713959
Test_59,0.00109898,0,0.9134329557,0.0011559372
Test_60,2.7215786758461E-05,0,0.000012446,0.9993770719
Test_61,0.9942117929,0,0.0018482072,0.0013187875
Test_62,0.0254060738,0,0.0222332515,0.4281391203
Test_63,0.0006900282,0,0.0006028467,0.9640474319
Test_64,0.9811832309,0,0.0071360604,0.0081611155
Test_65,0.0008619974,0,0.9722566605,0.0003633105
Test_66,0.9953754544,0,0.0019744774,0.0008155357
Test_67,0.0039096032,0,0.9857169986,0.000857147
Test_68,0.0011603162,0,0.0012870433,0.9537986517
Test_69,0.0045781666,0,0.9719136953,0.0026589122
Test_70,0.0082448404,0,0.0060162209,0.9580044746
Test_71,0.0756232813,0,0.9173124433,0.0007691947
Test_72,0.0092063155,0,0.0053934236,0.9467359781
Test_73,0.9968671799,0,0.0010491194,0.0005923019
Test_74,0.9528244734,0,0.0010121079,0.0124065159
Test_75,0.2333983183,0,0.1788962334,0.4486697614
Test_76,0.9972041249,0,0.000827711,0.0014760455
Test_77,0.0055363281,0,0.9911847115,0.000858782
Test_78,4.09933236369398E-05,0,0.000108947,0.9983248711
Test_79,0.115295887,0,0.0063649132,0.8247240186
Test_80,0.0093808379,0,0.0617449656,0.1435595751
Test_81,0.000527181,0,0.8842897415,0.0010496122
Test_82,0.0033503957,0,0.6984225512,0.1989411265
Test_83,0.0035262145,0,0.6680477858,0.0024555833
Test_84,0.0024244371,0,0.0015496446,0.9868800044
Test_85,0.0212961119,0,0.0305896103,0.6663709879
Test_86,2.55823542829603E-05,0,0.9996011853,0.000009688
Test_87,0.2495634556,0,0.0308803953,0.2488096207
Test_88,0.0071702385,0,0.0034462321,0.8955777884
Test_89,0.9807694554,0,0.005511601,0.0114158038
Test_90,0.0006762648,0,0.9698002934,0.0006478616
Test_91,0.9823627472,0,0.0048959479,0.0028418074
Test_92,0.996122539,0,0.0014060853,0.0014590789
Test_93,0.0008824015,0,0.9830964804,0.0005931674
Test_94,8.49532589199953E-05,0,3.20395192829892E-05,0.9989882708
Test_95,0.9972397089,0,0.0010856221,0.0004777974
Test_96,0.0011754038,0,0.0008718961,0.9955199957
Test_97,0.9907325506,0,0.0004825935,0.0058151791
Test_98,0.0026286361,0,0.0029537219,0.8251513243
Test_99,0.245673418,0,0.020129621,0.6567961574
Test_100,0.000635994,0,0.0002511712,0.9855831861
Test_101,0.8768697977,0,0.0076801926,0.1061141267
Test_102,0.0162546001,0,0.0011053535,0.9751207232
Test_103,0.0026394203,0,0.0020051689,0.9554706812
Test_104,0.0025120648,0,0.0017819504,0.9340565801
Test_105,0.0008224746,0,0.0004681617,0.9919873476
Test_106,0.9955245256,0,0.0009001816,0.0010722171
Test_107,0.0071571558,0,0.7943915129,0.0291312393
Test_108,0.0029569031,0,0.0030093654,0.7542325854
Test_109,0.7600679398,0,0.0718057007,0.0662746653
Test_110,0.9994357824,0,0.0001072767,0.0002328844
Test_111,0.887081027,0,0.0198796,0.0529445522
Test_112,0.0127276462,0,0.866042912,0.0075492351
Test_113,0.0330553353,0,0.1098197475,0.3803683519
Test_114,0.0067337872,0,0.0521016195,0.1763684601
Test_115,0.0002343352,0,0.9995014071,2.27532018470811E-05
Test_116,0.0168046094,0,0.9560434222,0.0031230329
Test_117,0.0017154964,0,0.9441331029,0.0018914122
Test_118,0.001347951,0,0.9949663877,0.0005165779
Test_119,0.9383312464,0,0.0099652149,0.0029026382
Test_120,0.000219979,0,0.9931931496,0.0002107885
Test_121,0.0083782915,0,0.9615924954,0.0094793579
Test_122,0.0068777977,0,0.9310971498,0.0025652729
Test_123,0.0061093518,0,0.7545045614,0.0051706708
Test_124,0.0016090343,0,0.0003016674,0.9814758301
Test_125,0.0456386693,0,0.0381205939,0.425085932
Test_126,0.9986454844,0,0.0003440814,0.0001479031
Test_127,0.1295809746,0,0.0051018158,0.7340450287
Test_128,0.0033890516,0,0.9142618179,0.0119616818
Test_129,0.0110003557,0,0.5016515255,0.0337191559
Test_130,0.0027594578,0,0.0021219978,0.9757591486
Test_131,0.0005181224,0,0.0003514523,0.9951669574
Test_132,0.998611331,0,0.0007534678,0.0001638588
Test_133,0.003820715,0,0.0044605434,0.7895845175
Test_134,0.7340246439,0,0.0034424807,0.2548266947
Test_135,0.0098408526,0,0.4623801112,0.0688511655
Test_136,5.44347167306114E-05,0,7.09469386492856E-05,0.9995027781
Test_137,0.0004207671,0,0.9847788811,0.0004834635
Test_138,8.09710618341342E-05,0,0.9993866682,0.000025613
Test_139,0.9986329079,0,0.0002957856,0.0003666457
Test_140,0.0855452493,0,0.833132267,0.0147865489
Test_141,0.0009452625,0,0.0007896139,0.9974969625
Test_142,0.0004042921,0,0.0004950513,0.9959478378
Test_143,0.0285808481,0,0.0030175725,0.8789545894
Test_144,0.9997518659,0,7.02739489497617E-05,4.88855985167902E-05
Test_145,0.1027856842,0,0.0105371512,0.6437458992
Test_146,0.0009744113,0,0.9966008067,0.000667972
Test_147,6.75312840030529E-05,0,0.9932090044,0.0001470047
Test_148,0.9760183096,0,0.000918136,0.017723538
Test_149,0.094993189,0,0.8436613083,0.0076074884
Test_150,0.0061120298,0,0.0074971644,0.9039386511
Test_151,0.0005428687,0,0.9946786761,0.000464534
Test_152,0.0033557445,0,0.8491951227,0.0009721994
Test_153,0.0016584143,0,0.0010414894,0.993940711
Test_154,0.0003055236,0,0.9391996264,0.0001613904
Test_155,0.0004889111,0,0.9719959497,0.0010741896
Test_156,0.0092521505,0,0.0064698979,0.9195625186
Test_157,0.3672739565,0,0.5467615128,0.0416708253
Test_158,0.0040940344,0,0.0032454773,0.9751266241
Test_159,0.0071095293,0,0.9313963652,0.0016886035
Test_160,0.9349897504,0,0.0044157868,0.0365081653
Test_161,0.0010378119,0,0.0024600679,0.985699296
Test_162,0.0025896367,0,0.9879552126,0.0020089932
Test_163,0.0018964078,0,0.8393579721,0.0054245731
Test_164,0.2792946398,0,0.0090991305,0.4982723296
Test_165,2.74348185484996E-05,0,1.78713125933427E-05,0.9997529984
Test_166,0.0006571169,0,0.9972723722,0.0003707295
Test_167,0.0036858737,0,0.9797059894,0.0010185039
Test_168,0.0007965158,0,0.0203524828,0.0036162105
Test_169,0.0025945264,0,0.9938009977,0.0008647218
Test_170,0.0617939346,0,0.0250611752,0.5300527811
Test_171,0.0008813251,0,0.99198246,0.0005397928
Test_172,0.0033160062,0,0.8359411955,0.0026558698
Test_173,0.0001710953,0,0.998334527,0.0001001111
Test_174,0.2112616301,0,0.0008219207,0.7746320963
Test_175,0.9751218557,0,0.0003427348,0.0174401179
Test_176,0.0031376355,0,0.9865524173,0.0019177061
Test_177,0.03309948,0,0.0122152939,0.9367964864
Test_178,4.25922116846778E-05,0,5.12672340846621E-05,0.9997344017
Test_179,0.0475394018,0,0.8458205462,0.0116199302
Test_180,0.0016433311,0,0.6565055847,0.0050875782
Test_181,0.0023418923,0,0.0004620204,0.9822467566
Test_182,0.0397074409,0,0.7004570961,0.0253294818
Test_183,0.9413101077,0,0.0288550369,0.0143555254
Test_184,0.1630743146,0,0.0071302964,0.8248942494
Test_185,0.0005059773,0,0.0002383218,0.9709705114
Test_186,0.0054112873,0,0.0021494112,0.9287623167
Test_187,0.0004135306,0,0.9949342608,0.0003287116
Test_188,0.0033211014,0,0.9875405431,0.0011837331
Test_189,0.9954544902,0,0.000780179,0.0025303971
Test_190,0.0029674713,0,0.921227634,0.0070970086
Test_191,0.0052399514,0,0.8870013952,0.0035396949
Test_192,0.0669411197,0,0.8794480562,0.0050754333
Test_193,0.0001407687,0,0.9983940125,8.24840826680884E-05
Test_194,0.002065754,0,0.5849956274,0.0014545734
Test_195,0.7121009827,0,0.0297032632,0.0097779278
Test_196,0.0035763297,0,0.003822518,0.6398290992
Test_197,2.11778042285005E-05,0,0.9980250597,0.0001702028
Test_198,0.0402761698,0,0.0075752162,0.8764821291
Test_199,0.0234881416,0,0.8610318303,0.0095660593
Test_200,0.0007758726,0,0.9827686548,0.0003124667
Test_201,0.0008233829,0,0.0009032966,0.9910110235
Test_202,0.0085548069,0,0.6811051369,0.1523086727
Test_203,0.0203865655,0,0.8910806775,0.0066427616
Test_204,0.0034557048,0,0.0030371218,0.9631152153
Test_205,0.0226762835,0,0.0039544557,0.9690359235
Test_206,0.0006653388,0,0.0002569949,0.9976096153
Test_207,0.0216108523,0,0.9411236644,0.006151984
Test_208,0.0020389901,0,0.0001702035,0.9933294058
Test_209,0.0073596924,0,0.7006312013,0.004675095
Test_210,0.0001055829,0,0.0001016589,0.998388648
Test_211,0.0071264706,0,0.057257425,0.1543630213
Test_212,0.0018964044,0,0.9935930371,0.0006113757
Test_213,0.0048671095,0,0.2857648432,0.009470555
Test_214,0.0043195952,0,0.9477979541,0.002060604
Test_215,0.1971399486,0,0.0048014009,0.244144395
Test_216,0.9970852137,0,0.0008261263,0.0002634747
Test_217,0.0017117985,0,0.0029619886,0.9016931653
Test_218,0.9954776764,0,0.0003131043,0.0005786348
Test_219,0.0009036982,0,0.9984313846,0.0001015024
Test_220,0.0008404603,0,0.0006453024,0.9956800342
Test_221,0.146393016,0,0.0140639022,0.4504608214
Test_222,0.0063696271,0,0.9831431508,0.0018057234
Test_223,0.0118013294,0,0.9419873357,0.0027933442
Test_224,0.4121029973,0,0.3500424325,0.0383276902
Test_225,0.9991995692,0,0.0002342551,0.0001538355
Test_226,0.0010984667,0,0.9146726727,0.0005299672
Test_227,0.0018857548,0,0.0014243074,0.9779618979
Test_228,0.0013534271,0,0.9953327179,0.0004253223
Test_229,0.0014912254,0,0.9835699797,0.0008064035
Test_230,0.0029683001,0,0.0019523479,0.9855801463
Test_231,0.0005608541,0,0.0004276546,0.9922503233
Test_232,0.9914313555,0,0.0064703836,0.0007063729
Test_233,0.9919708371,0,0.0039903289,0.00139571
Test_234,0.0239308998,0,0.0052044713,0.9426296949
Test_235,0.0001367391,0,0.0001414439,0.9961683154
Test_236,0.0023980595,0,0.9465097189,0.0014577082
Test_237,0.0056184088,0,0.0294293053,0.3748031259
Test_238,0.0010973339,0,0.9193110466,0.0011058626
Test_239,0.0007541472,0,0.9391039014,0.0005154897
Test_240,0.0011189379,0,0.9058626294,0.0009329714
Test_241,0.0008610071,0,0.691626668,0.0128890155
Test_242,0.043378368,0,0.0033891904,0.8998649716
Test_243,0.9963365793,0,0.0016947316,0.0006679891
Test_244,0.0046862136,0,0.0238615274,0.8892761469
Test_245,0.0009454481,0,0.1111209989,0.0024172626
Test_246,0.0010319606,0,0.0004978245,0.9937623143
Test_247,0.0002593575,0,0.0002271114,0.9941087961
Test_248,0.0269983523,0,0.0046255062,0.7314023972
Test_249,0.007448087,0,0.8650833964,0.0441941544
Test_250,0.9978480339,0,0.0003028463,0.0002201887
Test_251,0.9512467384,0,0.0028228844,0.0387385599
Test_252,0.0250550993,0,0.9149931669,0.013294654
Test_253,0.0076443674,0,0.0043638283,0.838034153
Test_254,0.0006515007,0,0.0004024402,0.9859055281
Test_255,0.0027101967,0,0.000747325,0.9825581312
Test_256,0.0011604478,0,0.0002956254,0.9960201383
Test_257,0.0001876133,0,0.9968622327,9.52454138314351E-05
Test_258,0.0215061158,0,0.2964805663,0.0089888014
Test_259,0.2214826792,0,0.4058909416,0.2849048078
Test_260,0.0007445856,0,0.0002426051,0.9977886081
Test_261,0.0012637007,0,0.9927192926,0.0008980625
Test_262,0.0055251578,0,0.0087808613,0.5440306067
Test_263,0.6797153354,0,0.0004306549,0.3092719615
Test_264,0.872397542,0,0.1176667958,0.0057140565
Test_265,0.0045764442,0,0.9814893603,0.0021330717
Test_266,0.0001907718,0,0.0001610161,0.9988983274
Test_267,0.9979544878,0,0.0006486516,0.0004539455
Test_268,0.0009198807,0,0.7444853783,0.00144949
Test_269,0.9941070676,0,0.001556007,0.0023839534
Test_270,0.0024181323,0,0.0003113615,0.9957427979
Test_271,0.2040165663,0,0.0130200256,0.7560885549
Test_272,0.0009686635,0,0.4442101419,0.0035064039
Test_273,0.9971955419,0,0.0004859101,0.0004544236
Test_274,0.0006944484,0,0.98609972,0.0003483647
Test_275,0.0025391357,0,0.4569272101,0.0019486609
Test_276,0.0049300054,0,0.004992696,0.8574598432
Test_277,0.0403735116,0,0.0062879622,0.8516901135
Test_278,0.0014270955,0,0.0005358972,0.9910333753
Test_279,0.0004577378,0,0.9985647202,0.0001729971
Test_280,0.0011412537,0,0.0004995514,0.9942806959
Test_281,0.0009787115,0,0.0003589124,0.9901606441
Test_282,0.002728702,0,0.0019377552,0.158236295
Test_283,0.0046925503,0,0.3683433235,0.0054931892
Test_284,0.0006510181,0,0.9843978882,0.0004336539
Test_285,0.0001289432,0,0.000073016,0.9985848665
Test_286,0.000227762,0,8.41891596792266E-05,0.9993238449
Test_287,0.0280380994,0,0.8117933273,0.0208401028
Test_288,0.0010584976,0,0.0017035259,0.9440461397
Test_289,0.0001965358,0,0.0002938317,0.9989706874
Test_290,0.007762006,0,0.8733322024,0.0060091065
Test_291,0.0037400306,0,0.9871555567,0.0015931346
Test_292,0.9986568689,0,0.0005707858,0.000330469
Test_293,0.0006390068,0,0.9877611995,0.0005077645
Test_294,0.0020992397,0,0.9833087921,0.0011853587
Test_295,0.0182429124,0,0.9443064928,0.0058396682
Test_296,0.4466989934,0,0.3256117105,0.1517923176
Test_297,8.79818107932806E-05,0,8.7913686002139E-05,0.999068737
Test_298,0.0034315549,0,0.3950279355,0.0322320499
Test_299,0.001773257,0,0.0206556935,0.7409483194
Test_300,0.1147572771,0,0.0088439537,0.86837852
Test_301,0.9761886597,0,0.0021714494,0.0137645602
Test_302,0.0032326567,0,0.0025005364,0.9741102457
Test_303,0.9909450412,0,0.000895258,0.0033483878
Test_304,0.9543001056,0,0.0116542075,0.0023277705
Test_305,0.991643548,0,0.0012132952,0.0029517761
Test_306,0.0001142359,0,6.82891841279343E-05,0.9991989136
Test_307,0.9924088717,0,0.0017865456,0.0008601251
Test_308,0.0143367108,0,0.0112663684,0.6194010377
Test_309,0.0018664043,0,0.5988200903,0.001845774
Test_310,0.0007817034,0,0.2594397962,0.0037436299
Test_311,0.0031989098,0,0.4936855733,0.00361102
Test_312,0.0004828217,0,0.0003139658,0.9972301722
Test_313,0.000360433,0,0.0002131792,0.9937888384
Test_314,0.0015868593,0,0.0014703335,0.984362483
Test_315,0.0116086928,0,0.0029356319,0.9745052457
Test_316,0.0039700121,0,0.9871529341,0.0005762912
Test_317,0.002289335,0,0.991763711,0.0016516816
Test_318,0.0013143744,0,0.0061517577,0.8009673357
Test_319,0.0001047094,0,0.9977868199,6.84527767589316E-05
Test_320,0.0387387648,0,0.9374299049,0.005911869
Test_321,0.1808973849,0,0.0395576432,0.1665793657
Test_322,0.8293549418,0,0.0335148424,0.0277266018
Test_323,0.0159974247,0,0.8116596937,0.0028284481
Test_324,0.0023424369,0,0.9910281301,0.0006353927
Test_325,0.022685077,0,0.0061688689,0.8098120689
Test_326,0.0027724158,0,0.992916584,0.000395382
Test_327,0.0008344798,0,0.0001518942,0.9953533411
Test_328,0.0081068901,0,0.899110496,0.0028675701
Test_329,0.0002356692,0,0.9946565628,0.0002760571
Test_330,8.55676044011489E-05,0,0.9948737025,9.73114001681097E-05
Test_331,0.1085374802,0,0.0479501113,0.08107467
Test_332,0.965174973,0,0.005574543,0.0123899356
Test_333,0.0030319612,0,0.8708256483,0.0021794906
Test_334,0.0006575579,0,0.9818107486,0.0004909221
Test_335,0.9752216339,0,0.0154583929,0.0016629534
Test_336,0.5802460313,0,0.3930810094,0.0033455715
Test_337,0.9888125658,0,0.0004226557,0.0044043195
Test_338,0.9966531992,0,0.0010928961,0.0014589096
Test_339,0.0085923728,0,0.9114881754,0.0031486496
Test_340,0.1159959435,0,0.8159302473,0.0286631193
Test_341,0.9962764978,0,0.0004866008,0.0008605832
Test_342,0.9898475409,0,0.0016843586,0.0010616176
Test_343,0.9545423388,0,0.0006674612,0.0420605466
Test_344,0.0077688904,0,0.9447010159,0.0029301271
Test_345,0.0001192855,0,0.9817780256,7.12370965629816E-05
Test_346,0.0004307562,0,0.994922936,0.0001381725
Test_347,0.0092041735,0,0.9836009741,0.0016364779
Test_348,0.0001071897,0,7.95527739683166E-05,0.9994108081
Test_349,0.007192309,0,0.1456914842,0.7025281787
Test_350,0.0010461397,0,0.0004642793,0.9824941754
Test_351,0.0003952587,0,0.9981688261,0.0002090211
Test_352,0.0123781459,0,0.0076545374,0.6232734919
Test_353,0.0103247594,0,0.0131561067,0.8646917343
Test_354,0.0010353627,0,0.9968845248,0.0001640882
Test_355,0.000577384,0,0.0008602451,0.9732376337
Test_356,0.9993523359,0,0.0001109187,0.000127146
Test_357,0.9993863106,0,0.0002178914,8.61082880874164E-05
Test_358,0.0052954904,0,0.0432601236,0.0073750615
Test_359,0.0008877573,0,0.0009762931,0.9956101179
Test_360,0.0001711207,0,0.0001059503,0.997015655
Test_361,0.9945993423,0,0.0009721612,0.0017319877
Test_362,0.9685258865,0,0.0043185996,0.0183829274
Test_363,0.0002681353,0,0.9873805046,0.0001188316
Test_364,0.0152815254,0,0.880776763,0.0115374289
Test_365,0.0199948885,0,0.9659582973,0.0015097479
Test_366,0.0234895106,0,0.9397833943,0.0048749982
Test_367,0.0001247344,0,0.0001596477,0.9986131787
Test_368,0.9943431616,0,0.0023351416,0.0019099986
Test_369,0.000197583,0,0.0002295905,0.9961782694
Test_370,0.0004196788,0,0.9983539581,0.0002966612
Test_371,0.0012130589,0,0.9932549596,0.000539673
Test_372,3.66276435670443E-05,0,0.000034747,0.9994766116
Test_373,0.0019240096,0,0.9923837781,0.0009748793
Test_374,0.0078394786,0,0.9610821009,0.0030797154
Test_375,0.000947845,0,0.0005492918,0.9942976832
Test_376,0.9732933044,0,0.0159995537,0.0007558407
Test_377,0.9954134226,0,0.001085649,0.0008509061
Test_378,0.0011667309,0,0.9890969992,0.0005956895
Test_379,0.0090262797,0,0.7310122848,0.0651236176
Test_380,0.0027633586,0,0.0048513589,0.8143330812
Test_381,0.0852829963,0,0.0070990273,0.8296974301
Test_382,0.0033550784,0,0.0010254805,0.9524357915
Test_383,0.9993983507,0,1.06393445094E-05,0.0003105801
Test_384,0.0009678429,0,0.9968962669,0.0004565339
Test_385,0.0011253102,0,0.0029249382,0.950502038
Test_386,0.0029068631,0,0.4894053042,0.0114806546
Test_387,0.0004566621,0,0.0012908282,0.9906622767
Test_388,0.4135173857,0,0.0097580142,0.445721209
Test_389,0.9903310537,0,0.0030616398,0.0023104297
Test_390,0.4364186227,0,0.0021433851,0.5498752594
Test_391,0.0007874205,0,0.9624279141,0.0004044229
Test_392,0.0042206771,0,0.9883133173,0.0012426961
Test_393,0.0047735376,0,0.0047099232,0.9670203924
Test_394,0.0001653274,0,2.44150578510016E-05,0.9994553328
Test_395,0.0003865242,0,0.7336696386,0.0004047425
Test_396,0.0024621016,0,0.0009842623,0.9832874537
Test_397,0.0355838127,0,0.0080739604,0.932536602
Test_398,0.0005214385,0,0.9921379089,0.0005129589
Test_399,0.003343699,0,0.0012166158,0.9844440222
Test_400,0.001556819,0,0.9740296602,0.0014191087
Test_401,0.0094230408,0,0.7929805517,0.0053908294
Test_402,9.12723990040831E-05,0,3.32598938257434E-05,0.9993426204
Test_403,0.0049763806,0,0.7290117145,0.0067012506
Test_404,0.0122512095,0,0.0032423399,0.960867703
Test_405,0.0003912459,0,0.0001362585,0.9961283803
Test_406,6.01668725721538E-05,0,6.79588119965047E-05,0.9993802905
Test_407,6.25388202024624E-05,0,8.41113287606277E-05,0.9992715716
Test_408,0.0005617539,0,0.0012398669,0.9874558449
Test_409,0.0430729799,0,0.9060196877,0.0228305273
Test_410,0.0011549399,0,0.0004587567,0.9926466942
Test_411,0.9983010292,0,0.0006275811,0.0003140348
Test_412,0.0001894609,0,0.0667701215,0.0021284851
Test_413,0.9985388517,0,0.0006201759,0.0004367284
Test_414,0.0001957025,0,0.9954724312,0.000221532
Test_415,0.0025208411,0,0.9708909988,0.0012302266
Test_416,0.0755045265,0,0.0210697055,0.7841819525
Test_417,0.0005223461,0,0.9956094027,0.0002136575
Test_418,0.9971157312,0,0.0006726274,0.0002465414
Test_419,0.9877766371,0,0.0108984914,0.0002910155
Test_420,0.0014187808,0,0.7960179448,0.0016794879
Test_421,0.0015116686,0,0.0006742385,0.9959716797
Test_422,0.0026857227,0,0.000042524,0.9953560829
Test_423,0.009619033,0,0.6475046873,0.0051544034
Test_424,2.84153211396188E-05,0,0.9961037636,4.10225147788879E-05
Test_425,0.0503068976,0,0.0011145116,0.9202829599
Test_426,0.0036127779,0,0.9930413961,0.0013894575
Test_427,0.0006992558,0,0.0005612836,0.9973698854
Test_428,0.0020697126,0,0.002442633,0.9918109179
Test_429,0.0010129565,0,0.9816926122,0.0008298432
Test_430,0.00754683,0,0.7570489645,0.0048745903
Test_431,0.6986281276,0,0.0087709771,0.2478371859
Test_432,0.0003944189,0,7.50702820369042E-05,0.9932672381
Test_433,0.0002558765,0,0.0002052622,0.9965831041
Test_434,3.44143845723011E-05,0,5.46996998309623E-05,0.9992011189
Test_435,0.9720044136,0,0.0019431226,0.021599818
Test_436,0.0076831556,0,0.0053337202,0.8924380541
Test_437,0.0130277872,0,0.9652202725,0.0032299762
Test_438,0.0033193887,0,0.7677131295,0.0036381918
Test_439,0.089595288,0,0.6919462085,0.0073107332
Test_440,0.0001792297,0,0.9944194555,0.0001955281
Test_441,0.9762772322,0,0.0051255226,0.007813503
Test_442,0.0020413874,0,0.9926071167,0.0010233525
Test_443,0.0030901474,0,0.0028146573,0.9417403936
Test_444,0.9965529442,0,0.0004943955,0.0014295245
Test_445,0.0024002143,0,0.9702513814,0.0010834413
Test_446,0.0029409549,0,0.9851742983,0.0026034913
Test_447,0.0001414421,0,0.9993813634,5.99296763539314E-05
Test_448,0.0018288463,0,0.9879029393,0.0014519766
Test_449,0.0035330765,0,0.0024105539,0.974296689
Test_450,0.0570456572,0,0.9363532066,0.0014162875
Test_451,0.0019237424,0,0.9373820424,0.0029812159
Test_452,0.0058726966,0,0.9701238871,0.0017126935
Test_453,0.0009705463,0,0.0015437331,0.9915304184
Test_454,0.0183791164,0,0.6081066132,0.0068004564
Test_455,0.0006385235,0,0.0004626045,0.9973070025
Test_456,0.0008349922,0,0.8621247411,0.0006780968
Test_457,0.0002655602,0,0.0003578271,0.9969719052
Test_458,0.6695312262,0,0.0215528272,0.1301950961
Test_459,0.0028496962,0,0.9908130765,0.0008407168
Test_460,0.0352488235,0,0.0255695544,0.9243721962
Test_461,0.0035987585,0,0.0010906899,0.9728018045
Test_462,0.0007430236,0,0.1571043879,0.0668969899
Test_463,0.0013056441,0,0.0030326839,0.9059389234
Test_464,0.9980333447,0,0.0006420759,0.0007296609
Test_465,0.0003008925,0,0.9977477789,0.0004499776
Test_466,0.0019972625,0,0.9290941954,0.0029368266
Test_467,0.0005486929,0,0.0001724707,0.9931547046
Test_468,0.8641778231,0,0.0025127435,0.0041879728
Test_469,0.0698944777,0,0.8752773404,0.0100879846
Test_470,0.0176994838,0,0.0936750546,0.2892465591
Test_471,0.0124327438,0,0.9584618807,0.0070329444
Test_472,0.9988448024,0,0.0005622486,0.0003191506
Test_473,0.0450422987,0,0.4725912213,0.0076795891
Test_474,0.000240929,0,0.9984804988,0.0001243179
Test_475,0.0001501437,0,5.38225503987633E-05,0.996671021
Test_476,0.0276782271,0,0.0112571027,0.932202518
Test_477,0.0042614667,0,0.0007440046,0.9862005115
Test_478,0.0007157546,0,0.0004896982,0.9872766733
Test_479,0.0118650589,0,0.0004315917,0.9863227606
Test_480,0.0002588001,0,0.2409394234,0.0011923995
Test_481,0.0011317121,0,0.0026396713,0.9318709373
Test_482,0.0033722259,0,0.0015738236,0.957601428
Test_483,0.0076085227,0,0.9855772853,0.0006573218
Test_484,0.9812609553,0,0.0027744169,0.006575834
Test_485,0.9991624951,0,0.0003103685,0.0001906108
Test_486,0.0001809087,0,5.65404407097958E-05,0.9991415143
Test_487,0.9959165454,0,0.0014800277,0.0010364035
Test_488,0.0003591937,0,0.9783072472,0.0007666029
Test_489,0.0001140935,0,0.9974018931,0.0001355991
Test_490,0.024485575,0,0.760153532,0.0054930882
Test_491,0.0108248871,0,0.9848439097,0.0006307954
Test_492,0.0145901395,0,0.0005970189,0.9758674502
Test_493,5.35745348315686E-05,0,2.55798895523185E-05,0.9975755811
