,image_id,healthy,multiple_diseases,rust,scab,label
109,Train_109,0,0,1,0,2
110,Train_110,0,0,0,1,3
111,Train_111,1,0,0,0,0
112,Train_112,0,0,0,1,3
113,Train_113,0,1,0,0,1
114,Train_114,0,0,1,0,2
115,Train_115,0,0,1,0,2
116,Train_116,0,0,0,1,3
117,Train_117,0,0,1,0,2
118,Train_118,0,0,1,0,2
119,Train_119,0,0,0,1,3
120,Train_120,0,0,1,0,2
121,Train_121,0,0,1,0,2
122,Train_122,0,1,0,0,1
123,Train_123,1,0,0,0,0
124,Train_124,0,0,1,0,2
125,Train_125,0,0,0,1,3
126,Train_126,0,0,1,0,2
127,Train_127,0,0,0,1,3
128,Train_128,0,1,0,0,1
129,Train_129,0,0,1,0,2
130,Train_130,0,0,0,1,3
131,Train_131,0,0,1,0,2
132,Train_132,0,0,1,0,2
133,Train_133,0,0,1,0,2
134,Train_134,1,0,0,0,0
135,Train_135,1,0,0,0,0
136,Train_136,1,0,0,0,0
137,Train_137,1,0,0,0,0
138,Train_138,0,0,0,1,3
139,Train_139,0,0,1,0,2
140,Train_140,0,0,0,1,3
141,Train_141,0,0,1,0,2
142,Train_142,0,0,0,1,3
143,Train_143,0,0,0,1,3
144,Train_144,1,0,0,0,0
145,Train_145,0,0,0,1,3
146,Train_146,1,0,0,0,0
147,Train_147,0,0,0,1,3
148,Train_148,0,0,1,0,2
149,Train_149,0,0,0,1,3
150,Train_150,0,0,0,1,3
151,Train_151,1,0,0,0,0
152,Train_152,0,0,0,1,3
153,Train_153,0,0,0,1,3
154,Train_154,0,0,0,1,3
155,Train_155,0,0,0,1,3
156,Train_156,0,0,1,0,2
157,Train_157,0,0,1,0,2
158,Train_158,0,0,0,1,3
159,Train_159,0,0,1,0,2
160,Train_160,0,0,0,1,3
161,Train_161,0,0,0,1,3
162,Train_162,1,0,0,0,0
163,Train_163,0,0,0,1,3
164,Train_164,0,0,1,0,2
165,Train_165,0,0,1,0,2
166,Train_166,0,0,0,1,3
167,Train_167,1,0,0,0,0
168,Train_168,0,0,0,1,3
169,Train_169,0,0,0,1,3
170,Train_170,0,1,0,0,1
171,Train_171,0,0,1,0,2
172,Train_172,0,0,0,1,3
173,Train_173,0,0,0,1,3
174,Train_174,1,0,0,0,0
175,Train_175,1,0,0,0,0
176,Train_176,0,0,0,1,3
177,Train_177,0,0,0,1,3
178,Train_178,0,0,1,0,2
179,Train_179,1,0,0,0,0
180,Train_180,0,1,0,0,1
181,Train_181,0,0,1,0,2
182,Train_182,0,0,0,1,3
183,Train_183,0,0,1,0,2
184,Train_184,0,0,1,0,2
185,Train_185,0,0,0,1,3
186,Train_186,0,0,0,1,3
187,Train_187,0,0,1,0,2
188,Train_188,0,0,1,0,2
189,Train_189,0,0,0,1,3
190,Train_190,0,0,0,1,3
191,Train_191,0,0,0,1,3
192,Train_192,0,0,0,1,3
193,Train_193,0,0,1,0,2
194,Train_194,0,0,1,0,2
195,Train_195,1,0,0,0,0
196,Train_196,0,0,0,1,3
197,Train_197,0,0,0,1,3
198,Train_198,1,0,0,0,0
199,Train_199,1,0,0,0,0
200,Train_200,0,0,0,1,3
201,Train_201,1,0,0,0,0
202,Train_202,0,0,1,0,2
203,Train_203,0,0,0,1,3
204,Train_204,0,0,0,1,3
205,Train_205,0,0,1,0,2
206,Train_206,0,0,1,0,2
207,Train_207,0,0,0,1,3
208,Train_208,0,0,1,0,2
209,Train_209,0,0,0,1,3
210,Train_210,0,0,0,1,3
211,Train_211,0,0,0,1,3
212,Train_212,0,0,1,0,2
213,Train_213,1,0,0,0,0
214,Train_214,0,0,0,1,3
215,Train_215,1,0,0,0,0
216,Train_216,0,0,0,1,3
217,Train_217,0,0,0,1,3
218,Train_218,0,0,1,0,2
219,Train_219,1,0,0,0,0
220,Train_220,1,0,0,0,0
221,Train_221,1,0,0,0,0
222,Train_222,0,0,0,1,3
223,Train_223,0,0,1,0,2
224,Train_224,1,0,0,0,0
225,Train_225,0,0,1,0,2
226,Train_226,0,0,1,0,2
227,Train_227,1,0,0,0,0
228,Train_228,0,0,1,0,2
229,Train_229,0,0,0,1,3
230,Train_230,0,0,0,1,3
231,Train_231,0,1,0,0,1
232,Train_232,0,0,0,1,3
233,Train_233,0,0,1,0,2
234,Train_234,0,0,0,1,3
235,Train_235,0,0,0,1,3
236,Train_236,0,0,1,0,2
237,Train_237,0,1,0,0,1
238,Train_238,1,0,0,0,0
239,Train_239,0,0,0,1,3
240,Train_240,0,0,1,0,2
241,Train_241,0,0,1,0,2
242,Train_242,0,0,0,1,3
243,Train_243,0,0,0,1,3
244,Train_244,0,0,1,0,2
245,Train_245,0,1,0,0,1
246,Train_246,1,0,0,0,0
247,Train_247,1,0,0,0,0
248,Train_248,1,0,0,0,0
249,Train_249,1,0,0,0,0
250,Train_250,0,0,0,1,3
251,Train_251,0,0,0,1,3
252,Train_252,0,0,0,1,3
253,Train_253,0,0,0,1,3
254,Train_254,0,0,1,0,2
255,Train_255,0,0,0,1,3
256,Train_256,0,0,0,1,3
257,Train_257,1,0,0,0,0
258,Train_258,0,0,0,1,3
259,Train_259,0,0,1,0,2
260,Train_260,0,0,0,1,3
261,Train_261,1,0,0,0,0
262,Train_262,0,0,0,1,3
263,Train_263,1,0,0,0,0
264,Train_264,1,0,0,0,0
265,Train_265,1,0,0,0,0
266,Train_266,1,0,0,0,0
267,Train_267,0,0,0,1,3
268,Train_268,0,0,0,1,3
269,Train_269,0,0,1,0,2
270,Train_270,0,0,0,1,3
271,Train_271,1,0,0,0,0
272,Train_272,0,0,0,1,3
273,Train_273,1,0,0,0,0
274,Train_274,0,0,1,0,2
275,Train_275,0,0,1,0,2
276,Train_276,0,0,0,1,3
277,Train_277,0,0,1,0,2
278,Train_278,1,0,0,0,0
279,Train_279,0,0,1,0,2
280,Train_280,0,0,0,1,3
281,Train_281,0,0,0,1,3
282,Train_282,1,0,0,0,0
283,Train_283,0,0,0,1,3
284,Train_284,0,0,1,0,2
285,Train_285,0,0,1,0,2
286,Train_286,0,0,1,0,2
287,Train_287,1,0,0,0,0
288,Train_288,0,0,1,0,2
289,Train_289,0,0,1,0,2
290,Train_290,0,0,0,1,3
291,Train_291,1,0,0,0,0
292,Train_292,0,0,0,1,3
293,Train_293,0,0,0,1,3
294,Train_294,0,0,1,0,2
295,Train_295,1,0,0,0,0
296,Train_296,0,0,0,1,3
297,Train_297,0,0,0,1,3
298,Train_298,1,0,0,0,0
299,Train_299,0,0,1,0,2
300,Train_300,1,0,0,0,0
301,Train_301,0,0,1,0,2
302,Train_302,0,0,1,0,2
303,Train_303,0,0,0,1,3
304,Train_304,1,0,0,0,0
305,Train_305,0,0,0,1,3
306,Train_306,0,1,0,0,1
307,Train_307,1,0,0,0,0
308,Train_308,0,0,0,1,3
309,Train_309,0,0,0,1,3
310,Train_310,0,0,0,1,3
311,Train_311,1,0,0,0,0
312,Train_312,0,0,0,1,3
313,Train_313,0,0,1,0,2
314,Train_314,0,0,1,0,2
315,Train_315,0,0,0,1,3
316,Train_316,0,0,0,1,3
317,Train_317,1,0,0,0,0
318,Train_318,0,0,1,0,2
319,Train_319,0,0,0,1,3
320,Train_320,1,0,0,0,0
321,Train_321,0,0,1,0,2
322,Train_322,0,0,1,0,2
323,Train_323,0,0,1,0,2
324,Train_324,0,0,0,1,3
325,Train_325,0,0,0,1,3
326,Train_326,0,0,0,1,3
327,Train_327,0,0,1,0,2
328,Train_328,0,0,1,0,2
329,Train_329,1,0,0,0,0
330,Train_330,1,0,0,0,0
331,Train_331,0,0,1,0,2
332,Train_332,0,0,0,1,3
333,Train_333,0,0,1,0,2
334,Train_334,0,0,1,0,2
335,Train_335,1,0,0,0,0
336,Train_336,0,1,0,0,1
337,Train_337,1,0,0,0,0
338,Train_338,0,1,0,0,1
339,Train_339,1,0,0,0,0
340,Train_340,0,0,1,0,2
341,Train_341,0,0,1,0,2
342,Train_342,0,0,1,0,2
343,Train_343,0,0,0,1,3
344,Train_344,0,0,1,0,2
345,Train_345,0,0,1,0,2
346,Train_346,0,0,1,0,2
347,Train_347,0,0,1,0,2
348,Train_348,1,0,0,0,0
349,Train_349,0,0,0,1,3
350,Train_350,0,0,1,0,2
351,Train_351,0,0,1,0,2
352,Train_352,0,0,0,1,3
353,Train_353,0,0,0,1,3
354,Train_354,0,0,0,1,3
355,Train_355,0,0,0,1,3
356,Train_356,1,0,0,0,0
357,Train_357,1,0,0,0,0
358,Train_358,0,0,0,1,3
359,Train_359,1,0,0,0,0
360,Train_360,1,0,0,0,0
361,Train_361,0,0,0,1,3
362,Train_362,0,0,0,1,3
363,Train_363,0,1,0,0,1
364,Train_364,0,0,0,1,3
365,Train_365,1,0,0,0,0
366,Train_366,1,0,0,0,0
367,Train_367,1,0,0,0,0
368,Train_368,0,0,1,0,2
369,Train_369,0,0,1,0,2
370,Train_370,0,0,0,1,3
371,Train_371,0,0,1,0,2
372,Train_372,0,0,0,1,3
373,Train_373,1,0,0,0,0
374,Train_374,0,0,0,1,3
375,Train_375,1,0,0,0,0
376,Train_376,1,0,0,0,0
377,Train_377,0,0,0,1,3
378,Train_378,1,0,0,0,0
379,Train_379,0,0,0,1,3
380,Train_380,1,0,0,0,0
381,Train_381,0,0,0,1,3
382,Train_382,0,0,0,1,3
383,Train_383,1,0,0,0,0
384,Train_384,0,0,1,0,2
385,Train_385,0,0,1,0,2
386,Train_386,0,0,1,0,2
387,Train_387,0,0,1,0,2
388,Train_388,0,0,0,1,3
389,Train_389,1,0,0,0,0
390,Train_390,0,0,1,0,2
391,Train_391,0,1,0,0,1
392,Train_392,1,0,0,0,0
393,Train_393,1,0,0,0,0
394,Train_394,0,0,1,0,2
395,Train_395,0,1,0,0,1
396,Train_396,1,0,0,0,0
397,Train_397,1,0,0,0,0
398,Train_398,0,0,0,1,3
399,Train_399,0,1,0,0,1
400,Train_400,0,0,0,1,3
401,Train_401,0,0,0,1,3
402,Train_402,0,0,1,0,2
403,Train_403,0,0,1,0,2
404,Train_404,1,0,0,0,0
405,Train_405,1,0,0,0,0
406,Train_406,1,0,0,0,0
407,Train_407,1,0,0,0,0
408,Train_408,0,0,1,0,2
409,Train_409,0,0,0,1,3
410,Train_410,0,0,1,0,2
411,Train_411,0,0,1,0,2
412,Train_412,1,0,0,0,0
413,Train_413,0,0,1,0,2
414,Train_414,0,0,0,1,3
415,Train_415,1,0,0,0,0
416,Train_416,0,0,1,0,2
417,Train_417,1,0,0,0,0
418,Train_418,0,1,0,0,1
419,Train_419,0,0,0,1,3
420,Train_420,1,0,0,0,0
421,Train_421,1,0,0,0,0
422,Train_422,0,0,1,0,2
423,Train_423,0,0,0,1,3
424,Train_424,0,0,0,1,3
425,Train_425,1,0,0,0,0
426,Train_426,0,0,1,0,2
427,Train_427,1,0,0,0,0
428,Train_428,0,1,0,0,1
429,Train_429,0,0,0,1,3
430,Train_430,1,0,0,0,0
431,Train_431,0,0,0,1,3
432,Train_432,1,0,0,0,0
433,Train_433,1,0,0,0,0
434,Train_434,0,0,1,0,2
435,Train_435,0,0,1,0,2
436,Train_436,0,1,0,0,1
437,Train_437,0,0,0,1,3
438,Train_438,1,0,0,0,0
439,Train_439,1,0,0,0,0
440,Train_440,0,0,1,0,2
441,Train_441,0,0,1,0,2
442,Train_442,0,0,0,1,3
443,Train_443,1,0,0,0,0
444,Train_444,1,0,0,0,0
445,Train_445,0,0,1,0,2
446,Train_446,1,0,0,0,0
447,Train_447,0,0,1,0,2
448,Train_448,1,0,0,0,0
449,Train_449,0,0,0,1,3
450,Train_450,1,0,0,0,0
451,Train_451,0,0,1,0,2
452,Train_452,1,0,0,0,0
453,Train_453,0,0,1,0,2
454,Train_454,0,0,0,1,3
455,Train_455,0,0,1,0,2
456,Train_456,0,0,1,0,2
457,Train_457,0,0,0,1,3
458,Train_458,0,0,1,0,2
459,Train_459,0,0,0,1,3
460,Train_460,1,0,0,0,0
461,Train_461,0,0,1,0,2
462,Train_462,0,0,1,0,2
463,Train_463,0,0,0,1,3
464,Train_464,0,0,1,0,2
465,Train_465,0,0,1,0,2
466,Train_466,1,0,0,0,0
467,Train_467,0,0,1,0,2
468,Train_468,0,0,1,0,2
469,Train_469,0,0,1,0,2
470,Train_470,0,0,0,1,3
471,Train_471,0,0,0,1,3
472,Train_472,0,0,1,0,2
473,Train_473,0,0,0,1,3
474,Train_474,1,0,0,0,0
475,Train_475,1,0,0,0,0
476,Train_476,1,0,0,0,0
477,Train_477,0,0,0,1,3
478,Train_478,1,0,0,0,0
479,Train_479,0,0,1,0,2
480,Train_480,0,1,0,0,1
481,Train_481,0,0,1,0,2
482,Train_482,0,0,1,0,2
483,Train_483,0,0,1,0,2
484,Train_484,0,1,0,0,1
485,Train_485,0,0,1,0,2
486,Train_486,0,0,1,0,2
487,Train_487,0,0,1,0,2
488,Train_488,1,0,0,0,0
489,Train_489,0,0,0,1,3
490,Train_490,0,0,0,1,3
491,Train_491,1,0,0,0,0
492,Train_492,0,0,1,0,2
493,Train_493,0,1,0,0,1
494,Train_494,0,0,0,1,3
495,Train_495,0,0,1,0,2
496,Train_496,1,0,0,0,0
497,Train_497,0,0,1,0,2
498,Train_498,0,0,0,1,3
499,Train_499,0,0,1,0,2
500,Train_500,0,0,1,0,2
501,Train_501,0,0,1,0,2
502,Train_502,1,0,0,0,0
503,Train_503,0,0,0,1,3
504,Train_504,0,0,1,0,2
505,Train_505,0,0,0,1,3
506,Train_506,0,0,1,0,2
507,Train_507,0,0,1,0,2
508,Train_508,0,0,1,0,2
509,Train_509,0,0,1,0,2
510,Train_510,0,0,1,0,2
511,Train_511,0,0,1,0,2
512,Train_512,0,0,1,0,2
513,Train_513,0,0,1,0,2
514,Train_514,0,0,1,0,2
515,Train_515,0,0,1,0,2
516,Train_516,0,0,1,0,2
517,Train_517,0,1,0,0,1
518,Train_518,0,0,1,0,2
519,Train_519,0,0,1,0,2
520,Train_520,0,0,0,1,3
521,Train_521,0,0,0,1,3
522,Train_522,0,0,1,0,2
523,Train_523,0,0,1,0,2
524,Train_524,0,0,0,1,3
525,Train_525,1,0,0,0,0
526,Train_526,1,0,0,0,0
527,Train_527,0,0,0,1,3
528,Train_528,0,0,0,1,3
529,Train_529,1,0,0,0,0
530,Train_530,0,0,0,1,3
531,Train_531,1,0,0,0,0
532,Train_532,1,0,0,0,0
533,Train_533,0,0,1,0,2
534,Train_534,0,0,1,0,2
535,Train_535,0,1,0,0,1
536,Train_536,0,0,1,0,2
537,Train_537,1,0,0,0,0
538,Train_538,0,0,0,1,3
539,Train_539,0,0,1,0,2
540,Train_540,0,0,0,1,3
541,Train_541,0,0,1,0,2
542,Train_542,0,0,1,0,2
543,Train_543,0,1,0,0,1
544,Train_544,1,0,0,0,0
545,Train_545,1,0,0,0,0
546,Train_546,1,0,0,0,0
547,Train_547,1,0,0,0,0
548,Train_548,0,0,0,1,3
549,Train_549,0,0,1,0,2
550,Train_550,1,0,0,0,0
551,Train_551,1,0,0,0,0
552,Train_552,0,0,0,1,3
553,Train_553,0,0,1,0,2
554,Train_554,0,0,1,0,2
555,Train_555,0,0,0,1,3
556,Train_556,0,0,0,1,3
557,Train_557,0,0,1,0,2
558,Train_558,1,0,0,0,0
559,Train_559,0,0,0,1,3
560,Train_560,0,0,1,0,2
561,Train_561,0,0,0,1,3
562,Train_562,1,0,0,0,0
563,Train_563,0,1,0,0,1
564,Train_564,0,0,1,0,2
565,Train_565,0,0,0,1,3
566,Train_566,1,0,0,0,0
567,Train_567,0,0,1,0,2
568,Train_568,0,0,0,1,3
569,Train_569,1,0,0,0,0
570,Train_570,0,0,0,1,3
571,Train_571,0,0,1,0,2
572,Train_572,1,0,0,0,0
573,Train_573,1,0,0,0,0
574,Train_574,0,0,1,0,2
575,Train_575,0,0,1,0,2
576,Train_576,0,0,0,1,3
577,Train_577,0,0,1,0,2
578,Train_578,0,0,1,0,2
579,Train_579,1,0,0,0,0
580,Train_580,0,0,1,0,2
581,Train_581,0,0,0,1,3
582,Train_582,0,0,1,0,2
583,Train_583,0,0,0,1,3
584,Train_584,0,0,1,0,2
585,Train_585,0,0,1,0,2
586,Train_586,0,0,1,0,2
587,Train_587,1,0,0,0,0
588,Train_588,0,0,1,0,2
589,Train_589,0,0,0,1,3
590,Train_590,0,0,1,0,2
591,Train_591,1,0,0,0,0
592,Train_592,1,0,0,0,0
593,Train_593,0,0,0,1,3
594,Train_594,0,0,1,0,2
595,Train_595,1,0,0,0,0
596,Train_596,0,0,1,0,2
597,Train_597,1,0,0,0,0
598,Train_598,0,0,1,0,2
599,Train_599,0,0,0,1,3
600,Train_600,0,0,0,1,3
601,Train_601,1,0,0,0,0
602,Train_602,0,1,0,0,1
603,Train_603,1,0,0,0,0
604,Train_604,0,0,0,1,3
605,Train_605,1,0,0,0,0
606,Train_606,0,0,1,0,2
607,Train_607,0,0,1,0,2
608,Train_608,0,0,1,0,2
609,Train_609,0,0,1,0,2
610,Train_610,0,0,1,0,2
611,Train_611,0,0,1,0,2
612,Train_612,0,0,1,0,2
613,Train_613,0,0,1,0,2
614,Train_614,0,0,0,1,3
615,Train_615,0,0,1,0,2
616,Train_616,1,0,0,0,0
617,Train_617,0,0,0,1,3
618,Train_618,1,0,0,0,0
619,Train_619,1,0,0,0,0
620,Train_620,0,0,1,0,2
621,Train_621,1,0,0,0,0
622,Train_622,1,0,0,0,0
623,Train_623,0,0,1,0,2
624,Train_624,0,0,0,1,3
625,Train_625,0,0,0,1,3
626,Train_626,1,0,0,0,0
627,Train_627,0,0,1,0,2
628,Train_628,0,0,0,1,3
629,Train_629,0,1,0,0,1
630,Train_630,1,0,0,0,0
631,Train_631,0,0,0,1,3
632,Train_632,0,0,1,0,2
633,Train_633,0,0,1,0,2
634,Train_634,0,0,1,0,2
635,Train_635,1,0,0,0,0
636,Train_636,0,0,0,1,3
637,Train_637,1,0,0,0,0
638,Train_638,0,0,0,1,3
639,Train_639,0,0,1,0,2
640,Train_640,0,0,1,0,2
641,Train_641,0,0,0,1,3
642,Train_642,1,0,0,0,0
643,Train_643,0,0,1,0,2
644,Train_644,1,0,0,0,0
645,Train_645,0,1,0,0,1
646,Train_646,1,0,0,0,0
647,Train_647,0,0,1,0,2
648,Train_648,1,0,0,0,0
649,Train_649,0,0,0,1,3
650,Train_650,1,0,0,0,0
651,Train_651,0,0,0,1,3
652,Train_652,0,0,1,0,2
653,Train_653,0,0,0,1,3
654,Train_654,0,0,1,0,2
655,Train_655,0,0,0,1,3
656,Train_656,0,0,1,0,2
657,Train_657,1,0,0,0,0
658,Train_658,0,0,0,1,3
659,Train_659,0,0,0,1,3
660,Train_660,1,0,0,0,0
661,Train_661,0,0,0,1,3
662,Train_662,0,0,0,1,3
663,Train_663,0,0,0,1,3
664,Train_664,0,0,0,1,3
665,Train_665,1,0,0,0,0
666,Train_666,0,0,1,0,2
667,Train_667,0,0,1,0,2
668,Train_668,0,0,1,0,2
669,Train_669,0,0,0,1,3
670,Train_670,0,0,1,0,2
671,Train_671,1,0,0,0,0
672,Train_672,0,0,1,0,2
673,Train_673,0,0,0,1,3
674,Train_674,0,0,0,1,3
675,Train_675,1,0,0,0,0
676,Train_676,1,0,0,0,0
677,Train_677,0,0,0,1,3
678,Train_678,1,0,0,0,0
679,Train_679,1,0,0,0,0
680,Train_680,0,0,0,1,3
681,Train_681,0,0,0,1,3
683,Train_683,0,0,1,0,2
684,Train_684,1,0,0,0,0
685,Train_685,1,0,0,0,0
686,Train_686,0,0,0,1,3
687,Train_687,0,0,1,0,2
688,Train_688,0,0,0,1,3
689,Train_689,0,0,1,0,2
690,Train_690,0,0,1,0,2
691,Train_691,1,0,0,0,0
692,Train_692,0,0,0,1,3
693,Train_693,0,0,1,0,2
694,Train_694,1,0,0,0,0
695,Train_695,0,0,1,0,2
696,Train_696,0,0,0,1,3
697,Train_697,0,0,1,0,2
698,Train_698,0,0,0,1,3
699,Train_699,0,0,0,1,3
700,Train_700,0,0,1,0,2
701,Train_701,1,0,0,0,0
703,Train_703,1,0,0,0,0
704,Train_704,1,0,0,0,0
705,Train_705,0,0,1,0,2
706,Train_706,0,0,1,0,2
707,Train_707,0,0,1,0,2
708,Train_708,0,0,0,1,3
709,Train_709,0,0,0,1,3
710,Train_710,1,0,0,0,0
711,Train_711,1,0,0,0,0
712,Train_712,0,0,1,0,2
713,Train_713,0,0,0,1,3
716,Train_716,0,0,0,1,3
717,Train_717,0,0,0,1,3
720,Train_720,1,0,0,0,0
721,Train_721,0,0,0,1,3
725,Train_725,1,0,0,0,0
730,Train_730,1,0,0,0,0
731,Train_731,1,0,0,0,0
737,Train_737,1,0,0,0,0
746,Train_746,1,0,0,0,0
747,Train_747,1,0,0,0,0
752,Train_752,1,0,0,0,0
753,Train_753,1,0,0,0,0
755,Train_755,1,0,0,0,0
761,Train_761,1,0,0,0,0
768,Train_768,1,0,0,0,0
769,Train_769,1,0,0,0,0
772,Train_772,1,0,0,0,0
1082,Train_1082,1,0,0,0,0
1085,Train_1085,1,0,0,0,0
1086,Train_1086,1,0,0,0,0
1089,Train_1089,0,0,0,1,3
1090,Train_1090,0,0,0,1,3
1091,Train_1091,1,0,0,0,0
1092,Train_1092,1,0,0,0,0
1094,Train_1094,0,0,0,1,3
1095,Train_1095,0,0,0,1,3
1097,Train_1097,1,0,0,0,0
1098,Train_1098,0,0,0,1,3
1099,Train_1099,0,0,0,1,3
1100,Train_1100,0,0,0,1,3
1101,Train_1101,1,0,0,0,0
1103,Train_1103,1,0,0,0,0
1104,Train_1104,0,0,0,1,3
1106,Train_1106,0,0,1,0,2
1107,Train_1107,0,0,0,1,3
1108,Train_1108,0,0,1,0,2
1109,Train_1109,0,0,0,1,3
1110,Train_1110,1,0,0,0,0
1111,Train_1111,0,0,1,0,2
1112,Train_1112,0,0,1,0,2
1113,Train_1113,0,0,1,0,2
1114,Train_1114,1,0,0,0,0
1115,Train_1115,1,0,0,0,0
1116,Train_1116,0,0,1,0,2
1117,Train_1117,1,0,0,0,0
1118,Train_1118,0,0,1,0,2
1120,Train_1120,0,0,0,1,3
1121,Train_1121,0,0,1,0,2
1122,Train_1122,0,0,1,0,2
1123,Train_1123,1,0,0,0,0
1124,Train_1124,0,0,0,1,3
1125,Train_1125,0,0,1,0,2
1126,Train_1126,0,0,1,0,2
1127,Train_1127,0,0,0,1,3
1128,Train_1128,0,0,0,1,3
1130,Train_1130,0,0,0,1,3
1131,Train_1131,1,0,0,0,0
1132,Train_1132,0,0,0,1,3
1133,Train_1133,1,0,0,0,0
1135,Train_1135,0,0,0,1,3
1136,Train_1136,0,0,0,1,3
1137,Train_1137,0,0,0,1,3
1138,Train_1138,0,0,1,0,2
1139,Train_1139,1,0,0,0,0
1140,Train_1140,0,0,0,1,3
1141,Train_1141,1,0,0,0,0
1142,Train_1142,0,0,1,0,2
1143,Train_1143,0,0,0,1,3
1144,Train_1144,0,0,1,0,2
1145,Train_1145,0,0,1,0,2
1146,Train_1146,1,0,0,0,0
1147,Train_1147,0,0,1,0,2
1148,Train_1148,0,0,1,0,2
1149,Train_1149,0,0,1,0,2
1150,Train_1150,0,0,1,0,2
1151,Train_1151,1,0,0,0,0
1152,Train_1152,0,0,0,1,3
1153,Train_1153,1,0,0,0,0
1154,Train_1154,0,0,1,0,2
1155,Train_1155,0,0,0,1,3
1156,Train_1156,0,0,0,1,3
1157,Train_1157,0,0,0,1,3
1158,Train_1158,0,0,1,0,2
1159,Train_1159,1,0,0,0,0
1160,Train_1160,1,0,0,0,0
1161,Train_1161,0,1,0,0,1
1162,Train_1162,0,0,0,1,3
1163,Train_1163,0,0,1,0,2
1164,Train_1164,1,0,0,0,0
1165,Train_1165,0,0,1,0,2
1166,Train_1166,0,0,0,1,3
1167,Train_1167,0,0,0,1,3
1168,Train_1168,0,0,0,1,3
1169,Train_1169,0,0,1,0,2
1170,Train_1170,0,0,0,1,3
1171,Train_1171,1,0,0,0,0
1172,Train_1172,0,0,0,1,3
1173,Train_1173,0,1,0,0,1
