,label,pred
63,[1 0 0 0],[9.9750805e-01 1.3456293e-03 7.0220575e-04 4.4417501e-04]
64,[0 0 1 0],[1.01062666e-04 3.75676726e-04 9.99449074e-01 7.42284101e-05]
65,[0 0 0 1],[1.8665392e-05 1.4074291e-04 8.0122218e-06 9.9983251e-01]
66,[1 0 0 0],[9.9924397e-01 5.9147854e-04 1.0755856e-04 5.7012458e-05]
67,[1 0 0 0],[9.9875140e-01 7.0652243e-04 4.2353501e-04 1.1853386e-04]
68,[1 0 0 0],[9.9989927e-01 6.0907430e-05 2.1527176e-05 1.8234226e-05]
69,[0 0 1 0],[8.8695451e-06 5.9789298e-05 9.9992549e-01 5.9315157e-06]
70,[1 0 0 0],[9.9986589e-01 8.1717408e-05 3.5909485e-05 1.6440561e-05]
71,[0 0 1 0],[3.4677316e-04 1.4703430e-03 9.9800605e-01 1.7676881e-04]
72,[1 0 0 0],[9.9873275e-01 5.1689317e-04 5.9785246e-04 1.5249519e-04]
73,[0 0 0 1],[1.7607255e-05 1.8332010e-03 3.4406068e-05 9.9811482e-01]
74,[0 1 0 0],[2.0219140e-05 2.6452052e-04 2.2685247e-06 9.9971288e-01]
75,[0 0 1 0],[0.16991182 0.04641729 0.7787893  0.00488161]
76,[0 0 0 1],[3.2624914e-05 2.7557649e-04 4.7934802e-05 9.9964380e-01]
77,[1 0 0 0],[9.9905401e-01 7.8496436e-04 5.2820949e-05 1.0817007e-04]
78,[0 0 0 1],[7.7512614e-06 6.4663283e-05 4.5301094e-06 9.9992311e-01]
79,[0 0 0 1],[0.00204067 0.1917604  0.00514027 0.8010587 ]
80,[0 0 0 1],[1.0228797e-05 5.6249475e-05 2.7103611e-06 9.9993074e-01]
81,[0 0 1 0],[6.299944e-05 4.037484e-04 9.994904e-01 4.279439e-05]
82,[0 0 1 0],[1.6721917e-04 5.7798036e-04 9.9910778e-01 1.4699509e-04]
83,[0 0 0 1],[5.3868840e-05 7.6425081e-04 1.4900518e-05 9.9916708e-01]
84,[0 0 0 1],[2.5038817e-04 2.9220586e-03 2.5732917e-04 9.9657023e-01]
85,[0 0 0 1],[6.5530021e-06 3.2318068e-05 1.5595173e-06 9.9995959e-01]
86,[1 0 0 0],[9.9990809e-01 5.1239582e-05 2.7749871e-05 1.2904888e-05]
87,[0 0 1 0],[1.4911957e-05 4.4518882e-05 9.9993408e-01 6.5018398e-06]
88,[1 0 0 0],[9.9966979e-01 2.0599988e-04 9.3854229e-05 3.0291993e-05]
89,[0 0 1 0],[2.5310324e-05 2.6194286e-04 9.9968624e-01 2.6576849e-05]
90,[1 0 0 0],[9.9933773e-01 3.8210957e-04 1.9940078e-04 8.0722712e-05]
91,[0 0 0 1],[5.6375146e-05 1.9860257e-04 2.4057959e-05 9.9972099e-01]
92,[0 0 1 0],[1.4652085e-05 4.8324659e-05 9.9993145e-01 5.5072587e-06]
93,[0 0 1 0],[0.05451917 0.05325623 0.88777065 0.00445395]
94,[1 0 0 0],[9.9773347e-01 1.4985674e-03 4.6197328e-04 3.0594267e-04]
95,[0 1 0 0],[9.7252004e-04 4.4042603e-03 9.9408507e-01 5.3812657e-04]
96,[0 0 1 0],[8.7134664e-05 2.1844835e-03 9.9765021e-01 7.8107019e-05]
97,[0 0 1 0],[0.0010351  0.09427518 0.9032357  0.00145404]
98,[0 0 1 0],[9.7391952e-04 2.1776815e-03 9.9648833e-01 3.6003863e-04]
99,[1 0 0 0],[9.9765188e-01 7.7435223e-04 1.3743790e-03 1.9945357e-04]
100,[1 0 0 0],[9.9960047e-01 2.3250227e-04 1.1725249e-04 4.9744889e-05]
101,[0 0 0 1],[7.6009805e-04 5.7955563e-02 4.3224578e-04 9.4085211e-01]
102,[0 0 1 0],[2.8295673e-05 9.9925768e-05 9.9985456e-01 1.7195747e-05]
103,[1 0 0 0],[0.8192872  0.15651646 0.01022306 0.01397326]
104,[0 1 0 0],[9.9766737e-01 1.6091923e-03 4.2514619e-04 2.9825262e-04]
105,[1 0 0 0],[9.9986243e-01 1.0021974e-04 2.8853981e-05 8.4463318e-06]
106,[0 0 0 1],[1.8013909e-04 2.1907964e-03 2.6622834e-04 9.9736291e-01]
107,[0 0 0 1],[2.81033834e-04 1.82765594e-03 1.19579665e-04 9.97771680e-01]
108,[0 0 1 0],[9.7635487e-04 1.6115503e-02 9.8253238e-01 3.7568383e-04]
109,[0 0 1 0],[6.7209578e-05 1.7672815e-04 9.9972719e-01 2.8850078e-05]
110,[0 0 0 1],[2.5712077e-06 3.7755955e-05 7.4244110e-07 9.9995887e-01]
111,[1 0 0 0],[9.9104577e-01 6.8292962e-03 6.2476489e-04 1.5001973e-03]
112,[0 0 0 1],[1.7183852e-04 1.7086010e-03 8.0775397e-05 9.9803883e-01]
113,[0 1 0 0],[5.7477131e-08 9.9999630e-01 3.0061587e-06 6.4506810e-07]
114,[0 0 1 0],[1.7091053e-04 3.1821340e-04 9.9945790e-01 5.3049123e-05]
115,[0 0 1 0],[1.3001761e-04 3.8872988e-04 9.9942517e-01 5.6138739e-05]
116,[0 0 0 1],[2.6207714e-04 4.5106330e-04 6.4476139e-05 9.9922240e-01]
117,[0 0 1 0],[3.35332807e-05 1.92030770e-04 9.99762237e-01 1.22402025e-05]
118,[0 0 1 0],[1.3164199e-03 1.6239750e-03 9.9607468e-01 9.8499074e-04]
119,[0 0 0 1],[1.2853648e-05 1.4132874e-04 9.9131485e-06 9.9983585e-01]
120,[0 0 1 0],[6.4575281e-05 1.2917798e-04 9.9978215e-01 2.4059431e-05]
121,[0 0 1 0],[5.6933109e-06 3.6513804e-05 9.9995327e-01 4.5037796e-06]
122,[0 1 0 0],[5.3054096e-05 3.5693796e-04 9.9955159e-01 3.8362996e-05]
123,[1 0 0 0],[9.9832219e-01 1.1346121e-03 4.0357196e-04 1.3960701e-04]
124,[0 0 1 0],[3.2501615e-05 1.7029629e-04 9.9976367e-01 3.3533328e-05]
125,[0 0 0 1],[2.1220243e-04 2.0718557e-04 3.0825475e-05 9.9954969e-01]
126,[0 0 1 0],[6.5271815e-06 6.8147769e-05 9.9991786e-01 7.4688492e-06]
127,[0 0 0 1],[2.3258498e-03 1.0043121e-03 2.1372599e-04 9.9645609e-01]
128,[0 1 0 0],[1.7259832e-05 9.7080594e-01 2.8917724e-02 2.5913943e-04]
129,[0 0 1 0],[1.9676092e-05 1.3446169e-04 9.9983132e-01 1.4508240e-05]
130,[0 0 0 1],[4.2467520e-05 2.8922260e-04 3.3009204e-05 9.9963534e-01]
131,[0 0 1 0],[2.3801274e-04 1.0679007e-02 9.8890686e-01 1.7618647e-04]
132,[0 0 1 0],[1.86656798e-05 1.15463234e-04 9.99847889e-01 1.78806276e-05]
133,[0 0 1 0],[2.3398829e-04 1.2715513e-04 9.9962389e-01 1.4849213e-05]
134,[1 0 0 0],[9.99833226e-01 1.03297105e-04 3.36012272e-05 2.98272334e-05]
135,[1 0 0 0],[9.9856204e-01 5.5989175e-04 4.9169606e-04 3.8631368e-04]
136,[1 0 0 0],[9.9968731e-01 1.8775158e-04 9.6929783e-05 2.8125654e-05]
137,[1 0 0 0],[9.6685290e-01 3.1201076e-02 1.6812779e-03 2.6472105e-04]
138,[0 0 0 1],[6.8682974e-04 8.1587404e-02 2.7696285e-04 9.1744882e-01]
139,[0 0 1 0],[4.6585864e-04 1.0884554e-03 9.9829501e-01 1.5065252e-04]
140,[0 0 0 1],[2.0700620e-06 3.8542938e-05 7.9964025e-07 9.9995863e-01]
141,[0 0 1 0],[0.00361441 0.00373188 0.9914676  0.0011861 ]
142,[0 0 0 1],[2.7312786e-05 2.8922883e-04 2.6524212e-05 9.9965692e-01]
143,[0 0 0 1],[5.6371741e-06 1.7620422e-04 8.3312034e-06 9.9980992e-01]
144,[1 0 0 0],[9.9930143e-01 5.8419316e-04 4.6353467e-05 6.7972862e-05]
145,[0 0 0 1],[9.0529160e-05 1.0041294e-03 1.4940317e-04 9.9875593e-01]
146,[1 0 0 0],[9.9998343e-01 9.7418551e-06 5.2553364e-06 1.5903140e-06]
147,[0 0 0 1],[4.8845690e-05 9.2458032e-04 8.9141824e-05 9.9893743e-01]
148,[0 0 1 0],[1.5384636e-05 8.0295453e-05 9.9988997e-01 1.4368093e-05]
149,[0 0 0 1],[4.5293127e-04 2.7427811e-03 2.7931551e-04 9.9652499e-01]
150,[0 0 0 1],[9.1148077e-06 1.0990831e-04 2.2340135e-05 9.9985862e-01]
151,[1 0 0 0],[9.9972028e-01 2.5056713e-04 1.2529946e-05 1.6631933e-05]
152,[0 0 0 1],[7.2817566e-06 5.1141222e-05 1.9182010e-06 9.9993968e-01]
153,[0 0 0 1],[1.3870711e-05 1.6428149e-04 6.0360403e-06 9.9981588e-01]
154,[0 0 0 1],[3.3208253e-05 1.6230354e-04 1.6568210e-05 9.9978787e-01]
155,[0 0 0 1],[2.0762101e-04 2.7563204e-03 2.6451601e-04 9.9677151e-01]
156,[0 0 1 0],[6.8065623e-04 5.9029860e-03 9.9272960e-01 6.8666489e-04]
157,[0 0 1 0],[2.4924596e-04 1.5911302e-03 9.9785370e-01 3.0597954e-04]
158,[0 0 0 1],[2.7365197e-05 3.2481994e-04 2.6835907e-05 9.9962091e-01]
159,[0 0 1 0],[4.4942859e-05 2.6372928e-04 9.9964702e-01 4.4332584e-05]
160,[0 0 0 1],[8.7139830e-05 2.1295244e-04 4.0051666e-05 9.9965990e-01]
161,[0 0 0 1],[7.123657e-05 5.284957e-04 7.627655e-05 9.993241e-01]
162,[1 0 0 0],[9.9990284e-01 8.1362094e-05 1.1233822e-05 4.5300176e-06]
163,[0 0 0 1],[1.9724888e-03 4.2389301e-03 5.4507237e-04 9.9324352e-01]
164,[0 0 1 0],[1.1496738e-03 6.4551681e-03 9.9152476e-01 8.7036553e-04]
165,[0 0 1 0],[0.12597188 0.02540598 0.843387   0.00523515]
166,[0 0 0 1],[2.4145431e-05 4.9920956e-04 3.2427834e-05 9.9944419e-01]
167,[1 0 0 0],[9.9842823e-01 7.7118009e-04 6.2269368e-04 1.7788282e-04]
168,[0 0 0 1],[1.9029829e-05 3.2810323e-04 1.4995144e-05 9.9963784e-01]
169,[0 0 0 1],[2.0647560e-05 7.7215035e-04 1.0965837e-05 9.9919635e-01]
170,[0 1 0 0],[2.2474295e-04 1.0979425e-01 8.8927370e-01 7.0729060e-04]
171,[0 0 1 0],[0.00670613 0.46329919 0.52498674 0.00500796]
172,[0 0 0 1],[0.01196883 0.03584591 0.00115114 0.9510341 ]
173,[0 0 0 1],[1.4649738e-04 1.8172396e-03 3.6471523e-04 9.9767154e-01]
174,[1 0 0 0],[9.9987888e-01 7.7824167e-05 3.9943254e-05 3.3927454e-06]
175,[1 0 0 0],[9.9618465e-01 2.5545296e-03 1.1250189e-03 1.3581548e-04]
176,[0 0 0 1],[4.3540404e-05 7.3985412e-04 2.1808135e-05 9.9919480e-01]
177,[0 0 0 1],[7.4983378e-05 1.7405337e-02 1.3791556e-04 9.8238176e-01]
178,[0 0 1 0],[3.0586714e-04 1.8184570e-03 9.9748719e-01 3.8854490e-04]
179,[1 0 0 0],[9.9961394e-01 1.2591817e-04 3.1682022e-05 2.2845410e-04]
180,[0 1 0 0],[2.3789755e-04 9.9618065e-01 6.9174886e-04 2.8897070e-03]
181,[0 0 1 0],[5.0383387e-04 4.5115012e-03 9.9464107e-01 3.4358486e-04]
182,[0 0 0 1],[3.3249032e-06 7.6428486e-04 2.0850503e-05 9.9921155e-01]
183,[0 0 1 0],[3.5076726e-05 1.1456376e-04 9.9983966e-01 1.0697795e-05]
184,[0 0 1 0],[3.1749383e-05 1.6234265e-04 9.9978465e-01 2.1357200e-05]
185,[0 0 0 1],[4.8222613e-05 1.5437772e-04 2.6735290e-05 9.9977070e-01]
186,[0 0 0 1],[1.2555702e-05 1.6192296e-04 4.8596003e-06 9.9982065e-01]
187,[0 0 1 0],[1.9117700e-02 1.5002907e-02 9.6511322e-01 7.6611235e-04]
188,[0 0 1 0],[4.5737243e-04 2.9269001e-03 9.9651694e-01 9.8817174e-05]
189,[0 0 0 1],[2.0075010e-03 1.0340321e-02 1.9511543e-04 9.8745698e-01]
190,[0 0 0 1],[2.9183348e-05 3.9308128e-04 8.3705876e-05 9.9949408e-01]
191,[0 0 0 1],[6.8646281e-05 5.1071041e-04 2.6673068e-05 9.9939394e-01]
192,[0 0 0 1],[4.3271898e-04 8.1134198e-04 3.6433154e-05 9.9871945e-01]
193,[0 0 1 0],[1.4789797e-04 4.3089245e-04 9.9937171e-01 4.9539616e-05]
194,[0 0 1 0],[5.9883118e-05 3.4900627e-04 9.9954045e-01 5.0624003e-05]
195,[1 0 0 0],[9.9967563e-01 2.5437737e-04 4.3476361e-05 2.6472955e-05]
196,[0 0 0 1],[6.8054756e-04 2.7241588e-01 7.2302559e-04 7.2618055e-01]
197,[0 0 0 1],[3.1503117e-05 1.5062356e-04 7.4534742e-06 9.9981040e-01]
198,[1 0 0 0],[9.9909484e-01 5.2676443e-04 2.4688951e-04 1.3150673e-04]
199,[1 0 0 0],[9.9996912e-01 2.4205345e-05 4.6196701e-06 2.0700838e-06]
200,[0 0 0 1],[1.2924736e-04 4.3645017e-03 5.9521488e-05 9.9544662e-01]
201,[1 0 0 0],[9.9948078e-01 3.5901013e-04 8.0734259e-05 7.9482597e-05]
202,[0 0 1 0],[0.00378827 0.03170333 0.96106577 0.00344253]
203,[0 0 0 1],[8.9039141e-04 2.2061623e-03 2.3941167e-04 9.9666399e-01]
204,[0 0 0 1],[7.1249073e-05 3.8198486e-04 4.7277073e-05 9.9949944e-01]
205,[0 0 1 0],[1.2524315e-03 1.4778882e-03 9.9702352e-01 2.4613718e-04]
206,[0 0 1 0],[4.1871171e-02 2.1571270e-03 9.5577949e-01 1.9220525e-04]
207,[0 0 0 1],[9.7977872e-06 1.3664830e-04 4.4421613e-06 9.9984920e-01]
208,[0 0 1 0],[4.7318242e-04 1.8334840e-03 9.9729449e-01 3.9884890e-04]
209,[0 0 0 1],[1.3132895e-05 1.3611488e-04 6.7076271e-06 9.9984407e-01]
210,[0 0 0 1],[2.05407541e-05 1.03300816e-04 7.00230203e-06 9.99869108e-01]
211,[0 0 0 1],[2.2864807e-04 6.0044155e-03 1.2001932e-04 9.9364686e-01]
212,[0 0 1 0],[7.8029138e-05 3.0323380e-04 9.9957973e-01 3.9044407e-05]
213,[1 0 0 0],[9.9947053e-01 3.0468480e-04 1.4791259e-04 7.6886063e-05]
214,[0 0 0 1],[3.8632970e-05 1.1913197e-03 1.7618506e-05 9.9875247e-01]
215,[1 0 0 0],[9.9946052e-01 3.5120064e-04 1.2863298e-04 5.9644884e-05]
216,[0 0 0 1],[3.4273797e-04 5.9451588e-04 6.7555055e-05 9.9899524e-01]
217,[0 0 0 1],[2.0216434e-04 2.1423886e-03 1.7564344e-04 9.9747986e-01]
218,[0 0 1 0],[7.4304389e-03 4.0247105e-02 9.5158023e-01 7.4220781e-04]
219,[1 0 0 0],[9.9981588e-01 1.6611656e-04 1.1703146e-05 6.3877933e-06]
220,[1 0 0 0],[0.99178845 0.00271324 0.00431884 0.00117955]
221,[1 0 0 0],[9.3205905e-01 5.7022784e-02 5.8414624e-04 1.0334037e-02]
222,[0 0 0 1],[3.0978382e-04 1.0362817e-03 1.6356377e-04 9.9849033e-01]
223,[0 0 1 0],[1.2146554e-05 8.3780287e-05 9.9989426e-01 9.7982293e-06]
224,[1 0 0 0],[9.9928892e-01 6.4837368e-04 1.9436311e-05 4.3205640e-05]
225,[0 0 1 0],[0.00488011 0.03870501 0.954832   0.00158279]
226,[0 0 1 0],[3.56984719e-06 1.43834395e-05 9.99981046e-01 1.03685773e-06]
227,[1 0 0 0],[9.9979883e-01 1.3511546e-04 4.0927152e-05 2.5165287e-05]
228,[0 0 1 0],[2.2261700e-04 1.4045803e-03 9.9814713e-01 2.2568151e-04]
229,[0 0 0 1],[0.00102832 0.04520135 0.00230606 0.95146424]
230,[0 0 0 1],[9.5709465e-06 1.2487016e-04 3.4393913e-06 9.9986207e-01]
231,[0 1 0 0],[6.3028355e-04 9.8237890e-01 1.8688599e-03 1.5121974e-02]
232,[0 0 0 1],[2.84066136e-05 1.03098464e-04 7.04339891e-06 9.99861479e-01]
233,[0 0 1 0],[0.00285025 0.01322454 0.98161924 0.00230595]
234,[0 0 0 1],[0.04053203 0.8622339  0.00190092 0.0953332 ]
235,[0 0 0 1],[1.69681531e-04 1.62133214e-03 1.06807995e-04 9.98102129e-01]
236,[0 0 1 0],[3.4733155e-06 8.2040991e-05 9.9991155e-01 2.8964009e-06]
237,[0 1 0 0],[1.7378398e-03 9.3974793e-01 5.7605583e-02 9.0865063e-04]
238,[1 0 0 0],[9.9973840e-01 1.4896708e-04 9.9621866e-05 1.3029317e-05]
239,[0 0 0 1],[4.0430819e-05 6.1704020e-04 2.6053165e-05 9.9931645e-01]
240,[0 0 1 0],[2.7735714e-05 5.4384972e-04 9.9939799e-01 3.0342962e-05]
241,[0 0 1 0],[1.12076414e-04 4.58459661e-04 9.99373734e-01 5.56989980e-05]
242,[0 0 0 1],[8.5601481e-05 4.3812976e-04 4.9736238e-05 9.9942660e-01]
243,[0 0 0 1],[1.8350326e-04 5.0248043e-04 5.2831903e-05 9.9926120e-01]
244,[0 0 1 0],[5.7603561e-06 4.9883518e-05 9.9994183e-01 2.6167595e-06]
245,[0 1 0 0],[0.02847171 0.81343555 0.00101584 0.15707688]
246,[1 0 0 0],[9.9969780e-01 2.2449222e-04 3.6397683e-05 4.1324613e-05]
247,[1 0 0 0],[9.9941051e-01 4.0857468e-04 1.2925614e-04 5.1615760e-05]
248,[1 0 0 0],[9.9682605e-01 2.0564527e-03 8.2361134e-04 2.9395460e-04]
249,[1 0 0 0],[9.9383873e-01 3.8229716e-03 7.9821429e-04 1.5401016e-03]
250,[0 0 0 1],[2.1027821e-05 3.4616873e-02 3.5769528e-05 9.6532625e-01]
251,[0 0 0 1],[7.2067574e-05 6.8828021e-04 3.6308702e-05 9.9920338e-01]
252,[0 0 0 1],[3.0323674e-05 1.1901690e-03 1.6779064e-05 9.9876273e-01]
253,[0 0 0 1],[2.9135288e-06 4.6247776e-05 2.5362667e-06 9.9994826e-01]
254,[0 0 1 0],[4.5118701e-05 2.9363681e-04 9.9964571e-01 1.5531818e-05]
255,[0 0 0 1],[3.9360169e-05 1.2619061e-04 1.2312870e-05 9.9982208e-01]
256,[0 0 0 1],[0.01296624 0.85226333 0.0026601  0.13211037]
257,[1 0 0 0],[9.9948311e-01 1.8992594e-04 2.5014099e-04 7.6887030e-05]
258,[0 0 0 1],[0.00624198 0.10536917 0.00958318 0.8788057 ]
259,[0 0 1 0],[0.0768743  0.00782641 0.9139333  0.00136602]
260,[0 0 0 1],[1.6824441e-04 4.3469146e-04 3.6599224e-05 9.9936050e-01]
261,[1 0 0 0],[9.8494416e-01 6.4162416e-03 3.9237388e-04 8.2471706e-03]
262,[0 0 0 1],[0.0017647  0.13105266 0.00169379 0.8654889 ]
263,[1 0 0 0],[9.9825138e-01 5.3356489e-04 6.3167616e-05 1.1518355e-03]
264,[1 0 0 0],[9.977387e-01 8.939667e-04 9.789581e-04 3.882635e-04]
265,[1 0 0 0],[9.9934906e-01 4.2131261e-04 1.0799088e-04 1.2165480e-04]
266,[1 0 0 0],[9.9892694e-01 6.4719003e-04 3.3249485e-04 9.3418850e-05]
267,[0 0 0 1],[2.89669115e-04 8.70936783e-04 1.01981765e-04 9.98737395e-01]
268,[0 0 0 1],[1.0165506e-03 2.4038502e-03 2.1792071e-04 9.9636167e-01]
269,[0 0 1 0],[5.8396377e-06 4.9062091e-05 9.9993944e-01 5.6379045e-06]
270,[0 0 0 1],[1.3126194e-04 6.1260606e-04 7.1645190e-05 9.9918455e-01]
271,[1 0 0 0],[9.98802066e-01 7.26854196e-04 3.61227227e-04 1.09845794e-04]
272,[0 0 0 1],[2.0807865e-04 7.8662374e-04 3.6799869e-05 9.9896860e-01]
273,[1 0 0 0],[9.9976510e-01 1.5935508e-04 5.2755408e-05 2.2778622e-05]
274,[0 0 1 0],[5.3467648e-04 8.2731486e-04 9.9837923e-01 2.5880529e-04]
275,[0 0 1 0],[3.3226516e-04 2.7087997e-03 9.9628901e-01 6.6988438e-04]
276,[0 0 0 1],[2.3530742e-04 1.5649588e-03 2.7617894e-04 9.9792349e-01]
277,[0 0 1 0],[7.3720620e-04 3.6656081e-03 9.9440408e-01 1.1931034e-03]
278,[1 0 0 0],[9.9068177e-01 1.6551011e-03 7.1108784e-03 5.5222807e-04]
279,[0 0 1 0],[2.8489272e-03 1.2918511e-02 9.8356217e-01 6.7043077e-04]
280,[0 0 0 1],[7.3103020e-06 4.2522213e-05 4.2391493e-06 9.9994588e-01]
281,[0 0 0 1],[0.04555161 0.45614052 0.00606472 0.49224314]
282,[1 0 0 0],[9.9866962e-01 5.1534851e-04 6.9178618e-04 1.2324561e-04]
283,[0 0 0 1],[4.6048587e-04 8.9851121e-04 2.2751222e-04 9.9841344e-01]
284,[0 0 1 0],[0.01438466 0.03166541 0.9524463  0.0015036 ]
285,[0 0 1 0],[3.5847982e-03 2.7418581e-03 9.9299508e-01 6.7818386e-04]
286,[0 0 1 0],[3.5196431e-03 6.8198092e-04 9.9563342e-01 1.6501828e-04]
287,[1 0 0 0],[9.9514008e-01 4.6084132e-03 1.1879932e-04 1.3278933e-04]
288,[0 0 1 0],[0.007279   0.00590768 0.9848247  0.00198851]
289,[0 0 1 0],[7.0253307e-05 7.8860001e-04 9.9909723e-01 4.3877615e-05]
290,[0 0 0 1],[8.9663765e-05 9.6010091e-04 3.4032528e-05 9.9891615e-01]
291,[1 0 0 0],[9.9872082e-01 6.7810941e-04 4.3910494e-04 1.6201162e-04]
292,[0 0 0 1],[1.0631176e-04 5.1247497e-04 7.8083765e-05 9.9930310e-01]
